id,area,quartos,banheiros,garagem,idade,localizacao,tipo_imovel,preco
1,132,1,2,1,7,Zona Oeste,Cobertura,249151
2,465,4,2,3,46,Zona Leste,Apartamento,1060668
3,378,3,3,3,32,Zona Norte,Casa,1453953
4,300,5,1,1,33,Zona Oeste,Cobertura,569824
5,136,2,3,1,8,Zona Oeste,Apartamento,1826094
6,101,1,1,2,16,Centro,Apartamento,660521
7,218,3,3,2,40,Zona Oeste,Cobertura,1853353
8,50,5,2,0,0,Zona Sul,Cobertura,1313705
9,132,3,1,2,39,Zona Norte,Apartamento,324804
10,151,5,1,0,4,Centro,Cobertura,228287
11,496,4,1,0,29,Zona Leste,Apartamento,1579971
12,244,3,1,0,10,Zona Leste,Apartamento,652255
13,360,3,2,3,27,Zona Leste,Apartamento,1493112
14,488,3,2,2,37,Zona Leste,Apartamento,1253422
15,117,4,2,1,16,Zona Leste,Casa,1333992
16,402,1,3,0,49,Centro,Cobertura,438447
17,129,5,2,1,22,Zona Sul,Casa,1674760
18,389,3,3,0,17,Zona Sul,Casa,1037042
19,181,4,3,2,36,Zona Leste,Casa,1630029
20,160,1,2,0,26,Zona Sul,Casa,158233
21,179,5,2,2,24,Zona Norte,Apartamento,242763
22,338,4,2,1,4,Zona Sul,Apartamento,514076
23,287,5,3,2,18,Zona Oeste,Apartamento,557266
24,373,3,1,1,26,Zona Leste,Studio,386905
25,443,1,2,2,12,Zona Oeste,Apartamento,1357381
26,323,4,3,0,6,Zona Oeste,Casa,791461
27,415,1,3,0,25,Zona Leste,Studio,839506
28,221,3,2,2,13,Centro,Studio,1413933
29,473,1,3,1,26,Zona Sul,Studio,1002411
30,306,1,2,1,7,Zona Norte,Apartamento,1650961
31,190,2,3,1,30,Centro,Casa,1347701
32,489,1,1,2,34,Zona Norte,Apartamento,391820
33,343,5,3,2,26,Zona Leste,Cobertura,1946248
34,51,4,2,2,3,Zona Sul,Studio,1795601
35,282,2,1,2,41,Centro,Cobertura,342755
36,265,4,2,1,3,Zona Leste,Studio,1117962
37,374,4,3,1,17,Centro,Studio,1818842
38,78,3,1,3,22,Zona Oeste,Cobertura,1246641
39,88,3,1,2,31,Zona Sul,Cobertura,1139796
40,199,2,3,3,11,Zona Sul,Apartamento,1495742
41,217,3,1,2,19,Zona Leste,Cobertura,513218
42,493,3,1,3,46,Zona Leste,Cobertura,1955235
43,300,3,1,1,44,Zona Leste,Casa,575656
44,219,4,2,1,11,Zona Sul,Cobertura,216332
45,475,2,2,3,7,Zona Oeste,Apartamento,362798
46,204,4,1,0,21,Zona Sul,Studio,1345225
47,475,5,3,2,26,Zona Leste,Studio,1213274
48,80,4,3,3,40,Zona Norte,Casa,1097972
49,393,5,2,3,40,Zona Oeste,Apartamento,1618431
50,84,1,3,0,16,Zona Sul,Studio,218639
51,273,1,1,1,31,Zona Norte,Casa,1863103
52,349,5,3,3,32,Zona Oeste,Studio,1423855
53,160,5,2,1,30,Zona Sul,Apartamento,1399756
54,336,4,2,2,5,Zona Leste,Cobertura,1109924
55,164,5,1,0,38,Zona Sul,Casa,1870985
56,50,2,2,1,8,Zona Oeste,Cobertura,973118
57,358,1,2,3,41,Zona Leste,Apartamento,950615
58,196,1,2,0,31,Centro,Apartamento,502688
59,303,5,3,0,35,Zona Norte,Studio,399836
60,417,3,2,0,15,Zona Leste,Studio,1962722
61,118,3,3,0,11,Zona Leste,Casa,1123700
62,345,5,2,0,40,Zona Oeste,Studio,272251
63,43,2,2,2,2,Zona Oeste,Studio,1463881
64,271,3,3,2,26,Zona Norte,Apartamento,1235455
65,294,5,3,0,26,Zona Oeste,Apartamento,144767
66,375,2,1,3,8,Zona Leste,Casa,1699472
67,82,2,1,3,16,Zona Norte,Cobertura,199933
68,415,4,3,2,45,Zona Norte,Casa,1303258
69,369,2,2,1,4,Zona Sul,Apartamento,1282897
70,121,3,1,0,25,Zona Leste,Apartamento,1165420
71,396,3,3,3,20,Zona Leste,Casa,862991
72,473,5,3,2,0,Zona Oeste,Casa,1868771
73,484,5,2,2,0,Zona Leste,Cobertura,1572693
74,457,2,3,1,34,Zona Oeste,Apartamento,684145
75,293,1,1,1,8,Zona Leste,Studio,1935231
76,460,4,2,3,22,Zona Sul,Apartamento,364589
77,64,1,3,1,37,Zona Leste,Studio,1532735
78,235,2,3,1,40,Zona Sul,Studio,444517
79,110,2,2,0,3,Zona Leste,Studio,1062922
80,449,1,2,2,18,Zona Leste,Cobertura,331422
81,79,4,2,2,36,Centro,Casa,130544
82,389,1,1,1,4,Zona Leste,Studio,983463
83,417,5,1,2,27,Zona Sul,Casa,553282
84,31,3,3,2,45,Zona Norte,Studio,1809847
85,419,5,3,3,41,Zona Sul,Cobertura,997026
86,83,3,2,2,47,Zona Leste,Studio,506096
87,135,2,3,1,22,Zona Oeste,Casa,1193411
88,289,4,3,3,37,Centro,Cobertura,105479
89,339,1,2,2,22,Zona Oeste,Casa,1796592
90,220,4,1,2,45,Centro,Casa,212568
91,431,1,1,3,17,Centro,Casa,1938394
92,247,5,1,3,28,Zona Oeste,Studio,1464573
93,73,5,3,2,27,Zona Leste,Cobertura,252280
